Manager	Package	Version	ReleaseDate	Dependencies
r-conda	r-acepack	1.4.1	2017-04-08	libgcc-ng;libgfortran;libgfortran-ng;libgfortran4;libgfortran5;m2w64-gcc-libs;r-base
r-conda	r-assertthat	0.2.1	2019-03-21	r-base
r-conda	r-backports	1.2.1	2020-12-09	libgcc-ng;m2w64-gcc-libs;r-base
r-conda	r-base64enc	0.1_3	2017-04-08	libgcc-ng;m2w64-gcc-libs;r-base
r-conda	r-bh	1.75.0_0	2021-01-12	r-base
r-conda	r-bibtex	0.4.2.3	2020-09-19	libgcc-ng;m2w64-gcc-libs;r-base;r-stringr
r-conda	r-biocmanager	1.30.15	2021-05-11	r-base
r-conda	r-bit64	4.0.5	2020-08-30	libgcc-ng;m2w64-gcc-libs;r-base;r-bit
r-conda	r-bit	4.0.4	2020-08-04	libgcc-ng;m2w64-gcc-libs;r-base
r-conda	r-bitops	1.0_7	2021-04-24	libgcc-ng;m2w64-gcc-libs;r-base
r-conda	r-blob	1.2.1	2020-01-20	r-base;r-rlang;r-vctrs
r-conda	r-blockmodeling	1.0.0	2020-07-01	libgcc-ng;libgfortran;libgfortran-ng;libgfortran4;libgfortran5;m2w64-gcc-libs;r-base;r-doparallel;r-dorng;r-foreach;r-matrix
r-conda	r-brio	1.1.2	2021-04-23	libgcc-ng;m2w64-gcc-libs;r-base
r-conda	r-bslib	0.2.5.1	2021-05-21	r-base;r-digest;r-htmltools;r-jquerylib;r-jsonlite;r-magrittr;r-rlang;r-sass
r-conda	r-cachem	1.0.5	2021-05-17	libgcc-ng;m2w64-gcc-libs;r-base;r-fastmap;r-rlang
r-conda	r-callr	3.7.0	2021-04-20	r-base;r-processx;r-r6
r-conda	r-catools	1.18.2	2021-03-28	libcxx;libgcc-ng;libstdcxx-ng;m2w64-gcc-libs;r-base;r-bitops
r-conda	r-checkmate	2.0.0	2020-02-06	libgcc-ng;m2w64-gcc-libs;r-backports;r-base
r-conda	r-cli	2.5.0	2021-04-26	r-assertthat;r-base;r-crayon;r-fansi;r-glue
r-conda	r-cluster	2.1.2	2021-05-20	libgcc-ng;libgfortran;libgfortran-ng;libgfortran5;m2w64-gcc-libs;r-base
r-conda	r-codetools	0.2_18	2020-11-11	r-base
r-conda	r-colorspace	2.0_1	2021-05-04	libgcc-ng;m2w64-gcc-libs;r-base
r-conda	r-commonmark	1.7	2019-01-04	libgcc-ng;m2w64-gcc-libs;r-base
r-conda	r-crayon	1.4.1	2021-02-08	r-base
